0.93791,0.85908,0.91898
0.91217,0.85318,0.86474
0.93389,0.92812,0.91929
0.91622,0.90109,0.93057
0.9163,0.90436,0.89972
0.93432,0.8057,0.90332
0.92183,0.89111,0.93147
0.92599,0.93266,0.88066
0.93117,0.89098,0.8847
0.91685,0.87075,0.85492
0.91682,0.87239,0.89211
0.91545,0.89009,0.92553
0.92439,0.89528,0.92116
0.9157,0.92109,0.85391
0.92407,0.89493,0.89548
0.93051,0.89834,0.90992
0.92194,0.90082,0.86854
0.9233,0.90483,0.89564
0.92101,0.60548,0.91556
0.92588,0.90911,0.9076
0.92847,0.89487,0.89332
0.91878,0.92628,0.90592
0.90973,0.92678,0.91961
0.92402,0.61074,0.89922
0.92162,0.89285,0.92121
0.91819,0.92082,0.89832
0.9193,0.90573,0.85372
0.73917,0.84561,0.90253
0.93179,0.89536,0.86795
0.92722,0.88369,0.89427
0.93637,0.91067,0.86083
0.92223,0.88609,0.89845
0.92742,0.90451,0.8889
0.92515,0.89592,0.92928
0.93189,0.89883,0.91818
0.92007,0.87049,0.92311
0.92767,0.89759,0.90674
0.93022,0.86761,0.90825
0.73917,0.86715,0.8742
0.92848,0.89552,0.93487
0.91889,0.88077,0.90793
0.9363,0.61073,0.88697
0.92256,0.93113,0.91907
0.91973,0.90011,0.86237
0.91839,0.89116,0.89712
0.92524,0.91356,0.91537
0.93434,0.92179,0.93128
0.92409,0.87493,0.84151
0.93411,0.9056,0.91891
0.93179,0.82685,0.93823
0.93255,0.90672,0.92266
0.92254,0.90901,0.90252
0.73917,0.8872,0.94705
0.9187,0.89741,0.90753
0.92252,0.93343,0.93628
0.92236,0.92099,0.89496
0.91787,0.91332,0.8895
0.93524,0.88004,0.90853
0.92147,0.90265,0.92386
0.94255,0.91584,0.91008
0.92608,0.92726,0.93589
0.92639,0.91174,0.91416
0.92291,0.91932,0.91189
0.92172,0.928,0.92365
0.92899,0.88002,0.91461
0.92545,0.61931,0.88422
0.9235,0.89303,0.89602
0.92968,0.88619,0.8536
0.92553,0.91211,0.87725
0.92811,0.85083,0.93083
0.92398,0.90044,0.87575
0.93191,0.58783,0.8708
0.91102,0.86743,0.85254
0.92266,0.87013,0.85107
0.91745,0.89144,0.85468
0.92113,0.9276,0.91428
0.93185,0.88795,0.9178
0.92782,0.89756,0.85666
0.91744,0.90592,0.90798
0.94104,0.87335,0.92834
0.92141,0.91266,0.90361
0.92388,0.88036,0.8571
0.93002,0.92579,0.8909
0.92402,0.9356,0.9217
0.92747,0.88239,0.87452
0.93171,0.8384,0.91427
0.93016,0.8753,0.87097
0.93247,0.92008,0.8603
0.915,0.9256,0.89527
0.9368,0.87791,0.89078
0.93665,0.88842,0.92559
0.92686,0.90831,0.90622
0.91828,0.91066,0.90437
0.92547,0.94124,0.88796
0.93052,0.82662,0.88591
0.91782,0.83981,0.92121
0.93219,0.84521,0.87569
0.92308,0.74207,0.92644
0.92951,0.84295,0.86891
0.93064,0.91555,0.88759
